location,latitude,longitude
"Cambridge, Cambridgeshire",52.1975846,0.1391537
"Liverpool, Merseyside",,
UK,52.5019896,-2.0209184
"Telford, Shropshire",52.6772753,-2.4004699
"Telford, Shropshire",52.6772753,-2.4004699
"Telford, Shropshire",52.6772753,-2.4004699
"Old Windsor, Windsor",51.4581397,-0.5808113
"Old Windsor, Windsor",51.4581397,-0.5808113
"Liverpool, Merseyside",,
"Peterborough, Eastern England",,
"Nottingham, Nottinghamshire",52.9534193,-1.1496461
"Nottingham, Nottinghamshire",52.9534193,-1.1496461
UK,52.5019896,-2.0209184
"Northampton, Northamptonshire",52.2343297,-0.9028043
"Liverpool, Merseyside",,
"Old Windsor, Windsor",51.4581397,-0.5808113
"Derby, Derbyshire",52.9233008,-1.4765491
"Marylebone, North West London",,
"Old Windsor, Windsor",51.4581397,-0.5808113
"Old Windsor, Windsor",51.4581397,-0.5808113
"Old Windsor, Windsor",51.4581397,-0.5808113
"Purley, South East London",,
"Purley, South East London",,
"Staffordshire, West Midlands",52.5934036,-2.164708
"Staffordshire, West Midlands",52.5934036,-2.164708
"Staffordshire, West Midlands",52.5934036,-2.164708
"Staffordshire, West Midlands",52.5934036,-2.164708
